Trial,F1_Score,Architecture,Learning_Rate,Dropout,Batch_Size,Optimizer,Scheduler
0,0.6637554585152838,ResidualMLP,0.0026070247583707684,0.2624074561769746,16,adam,onecycle
1,0.6502057613168725,WideShallowMLP,0.0023359635026261607,0.5862528132298237,128,adamw,cosine
2,0.6612903225806451,WideShallowMLP,0.0040215545266902904,0.3427013306774357,16,adamw,onecycle
3,0.6842105263157895,WideShallowMLP,0.0007162786999897341,0.4245108790277985,64,adamw,plateau
4,0.6666666666666666,AttentionMLP,0.005265761277157428,0.2440207698110707,16,adamw,cosine
5,0.6695278969957081,ResidualMLP,0.00029872741995638395,0.3957811041110252,64,adam,cosine
6,0.6330275229357798,WideShallowMLP,0.0012894414393074191,0.5509357413523923,128,adamw,plateau
7,0.6666666666666666,AttentionMLP,0.0031115931750282638,0.28970772378422394,16,adamw,onecycle
8,0.6607142857142857,AttentionMLP,0.008576491037046158,0.34806348010217775,16,adamw,plateau
9,0.6527196652719666,WideShallowMLP,0.003949938719735901,0.5468289274320415,64,adam,onecycle
10,0.669260700389105,RegularizedMLP,0.00017611426142759076,0.47995000396863896,32,adam,plateau
11,0.6696035242290749,ResidualMLP,0.00030312089529844035,0.43776125195627474,64,adam,cosine
12,0.680672268907563,ResidualMLP,0.00045901373769776776,0.4603009522168095,64,adam,cosine
13,0.6639676113360324,RegularizedMLP,0.00089332216210778,0.4841319280508033,64,adam,plateau
14,0.6578947368421053,ResidualMLP,0.0006182285182806145,0.4343872902276027,64,adamw,cosine
15,0.6425339366515838,WideShallowMLP,0.00010580637504288371,0.4914900737068661,32,adam,plateau
16,0.6640316205533597,ResidualMLP,0.0005006988404032519,0.3665023809022304,64,adamw,cosine
17,0.6547085201793722,RegularizedMLP,0.0013329680368092164,0.42839248012286907,64,adam,plateau
18,0.6577777777777778,ResidualMLP,0.00038013759379469073,0.30632429079356643,64,adamw,plateau
19,0.6606334841628959,WideShallowMLP,0.0007715528624810605,0.20555902327160674,32,adam,cosine
20,0.6666666666666666,WideShallowMLP,0.00021362516282412896,0.5116131329133695,128,adam,cosine
21,0.683982683982684,ResidualMLP,0.00032379360857769324,0.43972675461164906,64,adam,cosine
22,0.658008658008658,ResidualMLP,0.0004909147275011148,0.39343219188903583,64,adam,cosine
23,0.6666666666666666,ResidualMLP,0.0014169311777801432,0.45829198953262235,64,adam,cosine
24,0.6586345381526104,ResidualMLP,0.000161392194034843,0.5253069407634013,64,adam,cosine
25,0.6547085201793722,ResidualMLP,0.00035402528276724994,0.4041129973128675,64,adam,plateau
26,0.6666666666666666,RegularizedMLP,0.0006463409742176171,0.46576316724641315,64,adamw,cosine
27,0.6666666666666666,AttentionMLP,0.00022612393260670364,0.371893534510911,64,adam,cosine
28,0.6468085106382979,ResidualMLP,0.0017717662745923204,0.41892571419685026,128,adamw,plateau
29,0.6696428571428571,ResidualMLP,0.0010514804306497026,0.4488251750588098,32,adam,onecycle
30,0.6610878661087866,WideShallowMLP,0.00011043784144046676,0.5859836261817521,64,adam,onecycle
31,0.6608695652173913,ResidualMLP,0.0009866064542029722,0.4518066155100928,32,adam,onecycle
32,0.6747967479674797,ResidualMLP,0.0004390544199876483,0.41495203776751577,32,adam,onecycle
33,0.6557377049180327,ResidualMLP,0.0004594233683536242,0.3741101001465383,32,adam,onecycle
34,0.6547085201793722,ResidualMLP,0.0006520697292300507,0.3284837546113121,32,adam,onecycle
35,0.6521739130434783,WideShallowMLP,0.00025615958736476473,0.4149294762849687,16,adamw,onecycle
